ques_level1,ques_level2,ques_type,question,multiple_choice_grid_options,choice_options_text,choice_options_no
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,regularly,2
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,rarely,3
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,never,4
Q13,Q13_1,checkbox,"If you have used existing data in your research, what did you use the data for?",,research validation,1
Q13,Q13_2,checkbox,"If you have used existing data in your research, what did you use the data for?",,replication,2
Q13,Q13_3,checkbox,"If you have used existing data in your research, what did you use the data for?",,meta-analysis,3
Q13,Q13_4,checkbox,"If you have used existing data in your research, what did you use the data for?",,background or context to my research,4
Q13,Q13_5,checkbox,"If you have used existing data in your research, what did you use the data for?",,methodology development,5
Q13,Q13_6,checkbox,"If you have used existing data in your research, what did you use the data for?",,for baseline data,6
Q13,Q13_7,checkbox,"If you have used existing data in your research, what did you use the data for?",,teaching material,7
Q13,Q13_8,checkbox,"If you have used existing data in your research, what did you use the data for?",,new analysis,8
Q13,Q13_9,checkbox,"If you have used existing data in your research, what did you use the data for?",,to foster collaboration,9
Q13,Q13_10,checkbox,"If you have used existing data in your research, what did you use the data for?",,for another purpose,10
Q14,Q14_1,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,data are obtained from a reputable source,1
Q14,Q14_2,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,papers exist based on data,2
Q14,Q14_3,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,high quality data,3
Q14,Q14_4,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,dataset is well-documented,4
Q14,Q14_5,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,re-use rights are clearly defined,5
Q14,Q14_6,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,data can be cited,6
Q14,Q14_7,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,data are under open license,7
Q14,Q14_8,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,access is immediate,8
Q14,Q14_9,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,access to raw data as well as aggregated data,9
Q14,Q14_10,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,data are in formats that can be easily re-used by me,10
Q15,Q15_1,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I have had no problems,1
Q15,Q15_2,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I don't know where to find data,2
Q15,Q15_3,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I am not confident of the quality,3
Q15,Q15_4,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I do not know how to cite the data,4
Q15,Q15_5,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I do not have the resources to process the data,5
Q15,Q15_6,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,the data did not have sufficient metadata to make it re-usable,6
Q15,Q15_7,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,data was not accessible,7
Q15,Q15_8,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,data was not downloadable,8
Q15,Q15_9,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,not applicable,9
Q16,Q16_1,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,in an open access institutional repository,1
Q16,Q16_2,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,in a community/disciplinary repository,2
Q16,Q16_3,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,"in a generic repository (ie. FigShare, Zenodo)",3
Q16,Q16_4,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,as an appendix to a paper,4
Q16,Q16_5,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,directly to users on request,5
Q16,Q16_6,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,I do not share my data,6
Q17,Q17_1_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,raw datasets,
Q17,Q17_1_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,raw datasets,
Q17,Q17_1_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,raw datasets,
Q17,Q17_1_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,raw datasets,
Q17,Q17_2_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,cleaned datasets,
Q17,Q17_2_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,cleaned datasets,
Q17,Q17_2_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,cleaned datasets,
Q17,Q17_2_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,cleaned datasets,
Q17,Q17_3_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,aggregated datasets,
Q17,Q17_3_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,aggregated datasets,
Q17,Q17_3_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,aggregated datasets,
Q17,Q17_3_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,aggregated datasets,
Q17,Q17_4_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,other research materials,
Q17,Q17_4_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,other research materials,
Q17,Q17_4_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,other research materials,
Q17,Q17_4_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,other research materials,
Q18,Q18_1_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,principle investigator/research supervisor,
Q18,Q18_1_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,principle investigator/research supervisor,
Q18,Q18_2_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,collaborator,
Q18,Q18_2_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,collaborator,
Q18,Q18_3_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,colleagues at institution,
Q18,Q18_3_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,colleagues at institution,
Q18,Q18_4_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,researchers outside of my institution,
Q18,Q18_4_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,researchers outside of my institution,
Q18,Q18_5_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,general public,
Q18,Q18_5_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,general public,
Q18,Q18_6_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,other,
Q18,Q18_6_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,other,
Q18,Q18_7_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,no one,
Q18,Q18_7_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,no one,
Q20,Q20_1,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am concerned about being given proper citation,1
Q20,Q20_2,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am concerned that my research will be scooped,2
Q20,Q20_3,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am concerned about misinterpretation or misuse,3
Q20,Q20_4,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,intellectual property or confidentiality issues,4
Q20,Q20_5,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,ethical concerns,5
Q20,Q20_6,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,my funder/institution does not require data sharing,6
Q20,Q20_7,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I do not think it is my responsibility,7
Q20,Q20_8,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I do not consider my data relevant,8
Q20,Q20_9,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am not concerned about sharing my data,9
Q21,,multichoice_single answer,Have there been any instances where you have elected not to share research data?,,yes,1
Q21,,multichoice_single answer,Have there been any instances where you have elected not to share research data?,,no,2
Q22,Q22_1,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,sensitive personal data,1
Q22,Q22_2,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,identifiable patient data,2
Q22,Q22_3,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,commercially sensitive data,3
Q22,Q22_4,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,other types of confidential data,4
Q23,,multichoice_single answer,Please respond to the following statement: my understanding of the Open Data movement is sufficient for me to engage in open research activities?,,I consider myself sufficiently informed,1
Q23,,multichoice_single answer,Please respond to the following statement: my understanding of the Open Data movement is sufficient for me to engage in open research activities?,,I have heard of Open Data but would like more information on Open Data,2
Q23,,multichoice_single answer,Please respond to the following statement: my understanding of the Open Data movement is sufficient for me to engage in open research activities?,,Open Data is a new topic for me,3
Q24,Q24_1,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,formal instruction from my institution,1
Q24,Q24_2,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,online educational materials,2
Q24,Q24_3,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,discussions with my institutional colleagues,3
Q24,Q24_4,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,engagement with international research networks,4
Q24,Q24_5,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,international collaborations,5
Q24,Q24_6,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,funding requirements,6
Q24,Q24_7,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,journal publishing requirements,7
Q24,Q24_8,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,articles that I have read in journals or magazines,8
Q24,Q24_9,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,mainstream media,9
Q25,Q25_1,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it enables the unrestricted access to data for re-use,1
Q25,Q25_2,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it increases research transparency,2
Q25,Q25_3,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it increases research reproducibility,3
Q25,Q25_4,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it improves the return on public investment in research,4
Q25,Q25_5,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it increases the speed of research,5
Q25,Q25_6,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it improves the equitable access to research resources,6
Q26,Q26_1,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,"legal constraints (data privacy, national security, protection of confidentiality)",1
Q26,Q26_2,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,intellectual property rights,2
Q26,Q26_3,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,organisational constraints,3
Q26,Q26_4,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,commercial use and exploitation,4
Q26,Q26_5,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,loss of control over intellectual property,5
Q26,Q26_6,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,misinterpretation or misuse of data,6
Q26,Q26_7,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,loss of credit or recognition of original work,7
Q26,Q26_8,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,difficulty of clarifying data rights for work involving multiple inputs or authors,8
Q26,Q26_9,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,concerns about legal liability for data or release of data,9
Q26,Q26_10,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,"concerns about impact of data release (e.g., on endangered species, cultural artifacts, or vulnerable populations, unwanted disclosure etc.),",10
Q26,Q26_11,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,desire to publish results before releasing data,11
Q26,Q26_12,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,lack of funding to undertake open sharing,12
Q26,Q26_13,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,lack of time to undertake open sharing,13
Q26,Q26_14,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,lack of technical support,14
Q27,Q27_1_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,raw data,
Q27,Q27_1_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,raw data,
Q27,Q27_1_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,raw data,
Q27,Q27_2_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,cleaned data,
Q27,Q27_2_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,cleaned data,
Q27,Q27_2_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,cleaned data,
Q27,Q27_3_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,aggregated data,
Q27,Q27_3_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,aggregated data,
Q27,Q27_3_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,aggregated data,
Q27,Q27_4_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,other research materials,
Q27,Q27_4_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,other research materials,
Q27,Q27_4_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,other research materials,
Q28,,multichoice_single answer,How familiar are you with the FAIR principles in relation to Open Data?,,I consider myself sufficiently informed,1
Q28,,multichoice_single answer,How familiar are you with the FAIR principles in relation to Open Data?,,I have heard of FAIR principles but would like more information,2
Q28,,multichoice_single answer,How familiar are you with the FAIR principles in relation to Open Data?,,FAIR principles are a new topic for me,3
Q29,Q29_1,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,formal instruction from my institution,1
Q29,Q29_2,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,online educational materials,2
Q29,Q29_3,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,discussions with my institutional colleagues,3
Q29,Q29_4,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,engagement with international research networks,4
Q29,Q29_5,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,international collaborations,5
Q29,Q29_6,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,funding requirements,6
Q29,Q29_7,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,journal publishing requirements,7
Q29,Q29_8,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,articles that I have read in journals or magazines,8
Q29,Q29_9,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,mainstream media,9
Q29,Q29_10,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,I have received no information on FAIR data principles,10
Q30,,multichoice_single answer,Please respond to the following statement: I have access to mentors that assist me to share my data in compliance with FAIR principles:,,within my institution,1
Q30,,multichoice_single answer,Please respond to the following statement: I have access to mentors that assist me to share my data in compliance with FAIR principles:,,within my disciplinary community (not at my institution),2
Q30,,multichoice_single answer,Please respond to the following statement: I have access to mentors that assist me to share my data in compliance with FAIR principles:,,I do not have support for FAIR data compliance activities,3
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,all of the data that I share complies with FAIR data principles,1
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,some of the data that I share complies with FAIR data principles,2
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,very little of the data that I share complies with FAIR data principles,3
Q31,,multichoice_single answer,To what extent do you think that the data you share are in compliance with the FAIR data principles?,,none of the data that I share complies with FAIR data principles,4
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am very confident that the metadata shared with my data are sufficient to enable re-use of the data,1
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am confident that the metadata shared with my data are sufficient to enable re-use of the data,2
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am unsure that the metadata shared with my data are sufficient to enable re-use of the data,3
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I am very unsure that the metadata shared with my data are sufficient to enable re-use of the data,4
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I do not share metadata with my data,5
Q32,,multichoice_single answer,Please select from the following statements that describe your use of metadata:,,I do not share my data,6
Q33,Q33_1,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,my peers,1
Q33,Q33_2,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,international collaborators,2
Q33,Q33_3,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,technical or library support within my institution,3
Q33,Q33_4,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,international research networks,4
Q33,Q33_5,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,data stewards,5
Q33,Q33_6,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,other,6
Q33,Q33_7,checkbox,Please respond to the following statement: I receive assistance on creating metadata to describe my data/datasets from (select all that apply),,I do not receive help creating metadata,7
Q34,Q34_1,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,more publications,1
Q34,Q34_2,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,higher citation rate of article,2
Q34,Q34_3,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,full citation of dataset in another article,3
Q34,Q34_4,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,co-authorship on papers using my data,4
Q34,Q34_5,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,financial reward,5
Q34,Q34_6,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,new collaborations,6
Q34,Q34_7,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,more funding opportunities,7
Q34,Q34_8,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,financial benefit,8
Q34,Q34_9,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,new patents,9
Q34,Q34_10,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,professional development (ie. promotion),10
Q34,Q34_11,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,enhanced visibility in peer community (ie. invitation to speak at conference),11
Q34,Q34_12,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,other benefits,12
Q34,Q34_13,checkbox,Have you received recognition/rewards for sharing your research data (select all that apply)?,,I have not received any benefits from sharing my data,13
