ques_level1,ques_level2,ques_type,question,multiple_choice_grid_options,choice_options_text,choice_options_no,choice_options_text_ORIG
Q26,Q26_4,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,commercial use and exploitation,4,commercial use and exploitation
Q26,Q26_5,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,loss of control over intellectual property,5,loss of control over intellectual property
Q26,Q26_6,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,misinterpretation or misuse of data,6,misinterpretation or misuse of data
Q26,Q26_7,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,loss of credit or recognition of original work,7,loss of credit or recognition of original work
Q26,Q26_8,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,difficulty of clarifying data rights for work involving multiple inputs or authors,8,difficulty of clarifying data rights for work involving multiple inputs or authors
Q26,Q26_9,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,concerns about legal liability for data or release of data,9,concerns about legal liability for data or release of data
Q26,Q26_10,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,"concerns about impact of data release (e.g., on endangered species, cultural artifacts, or vulnerable populations, unwanted disclosure etc.),",10,"concerns about impact of data release (e.g., on endangered species, cultural artifacts, or vulnerable populations, unwanted disclosure etc.),"
Q26,Q26_11,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,desire to publish results before releasing data,11,desire to publish results before releasing data
Q26,Q26_12,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,lack of funding to undertake open sharing,12,lack of funding to undertake open sharing
Q26,Q26_13,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,lack of time to undertake open sharing,13,lack of time to undertake open sharing
Q26,Q26_14,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,lack of technical support,14,lack of technical support
Q27,Q27_1_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,raw data,,raw data
Q27,Q27_1_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,raw data,,raw data
Q27,Q27_1_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,raw data,,raw data
Q27,Q27_2_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,cleaned data,,cleaned data
Q27,Q27_2_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,cleaned data,,cleaned data
Q27,Q27_2_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,cleaned data,,cleaned data
Q27,Q27_3_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,aggregated data,,aggregated data
Q27,Q27_3_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,aggregated data,,aggregated data
Q27,Q27_3_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,aggregated data,,aggregated data
Q27,Q27_4_a_1,multiple choice grid,"When you share your data, how much do you make open?",none,other research materials,,other research materials
Q27,Q27_4_b_1,multiple choice grid,"When you share your data, how much do you make open?",some,other research materials,,other research materials
Q27,Q27_4_c_1,multiple choice grid,"When you share your data, how much do you make open?",all,other research materials,,other research materials
Q28,,multichoice_single answer,How familiar are you with the FAIR principles in relation to Open Data?,,I consider myself sufficiently informed,1,I consider myself sufficiently informed
Q28,,multichoice_single answer,How familiar are you with the FAIR principles in relation to Open Data?,,I have heard of FAIR principles but would like more information,2,I have heard of FAIR principles but would like more information
Q28,,multichoice_single answer,How familiar are you with the FAIR principles in relation to Open Data?,,FAIR principles are a new topic for me,3,FAIR principles are a new topic for me
Q29,Q29_1,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,formal instruction from my institution,1,formal instruction from my institution
Q29,Q29_2,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,online educational materials,2,online educational materials
Q29,Q29_3,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,discussions with my institutional colleagues,3,discussions with my institutional colleagues
Q29,Q29_4,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,engagement with international research networks,4,engagement with international research networks
Q29,Q29_5,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,international collaborations,5,international collaborations
Q29,Q29_6,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,funding requirements,6,funding requirements
Q29,Q29_7,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,journal publishing requirements,7,journal publishing requirements
Q29,Q29_8,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,articles that I have read in journals or magazines,8,articles that I have read in journals or magazines
Q29,Q29_9,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,mainstream media,9,mainstream media
Q29,Q29_10,checkbox,Did you get this information about FAIR data principles from any of the below sources (select all that apply)?,,I have received no information on FAIR data principles,10,I have received no information on FAIR data principles
Q30,,multichoice_single answer,Please respond to the following statement: I have access to mentors that assist me to share my data in compliance with FAIR principles:,,within my institution,1,within my institution
