"URN","Unique Response Number"
"Q11","Onde guardou os dados que criou durante as suas pesquisas e depois destas terminadas? (seleccione todas as respostas que se apliquem)"
"Q11_1_a","Os formatos não digitais (por exemplo, os livros de laboratório)"
"1","Durante a investigação"
"Q11_1_b","Os formatos não digitais (por exemplo, os livros de laboratório)"
"1","Depois do fim da investigação"
"Q11_2_a","Os discos rígidos externos"
"1","Durante a investigação"
"Q11_2_b","Os discos rígidos externos"
"1","Depois do fim da investigação"
"Q11_3_a","Os discos rígidos dos PC"
"1","Durante a investigação"
"Q11_3_b","Os discos rígidos dos PC"
"1","Depois do fim da investigação"
"Q11_4_a","USB"
"1","Durante a investigação"
"Q11_4_b","USB"
"1","Depois do fim da investigação"
"Q11_5_a","Nuvem"
"1","Durante a investigação"
"Q11_5_b","Nuvem"
"1","Depois do fim da investigação"
"Q11_6_a","repositório institucional"
"1","Durante a investigação"
"Q11_6_b","repositório institucional"
"1","Depois do fim da investigação"
"Q11_7_a","repositório geral/disciplinar (que inclui GitHub)"
"1","Durante a investigação"
"Q11_7_b","repositório geral/disciplinar (que inclui GitHub)"
"1","Depois do fim da investigação"
"Q11_8_a","repositório do dador de fundos"
"1","Durante a investigação"
"Q11_8_b","repositório do dador de fundos"
"1","Depois do fim da investigação"
"Q11_9_a","repositório do editor"
"1","Durante a investigação"
"Q11_9_b","repositório do editor"
"1","Depois do fim da investigação"
"Q11_10_a","Eu não guardo/arquivo os meus dados"
"1","Durante a investigação"
"Q11_10_b","Eu não guardo/arquivo os meus dados"
"1","Depois do fim da investigação"
"Q12","Você utiliza bases de dados criadas por outros investigadores?"
"1","sempre"
"2","regularmente"
"3","raramente"
"4","nunca"
"Q13","Se você utilizou dados existentes na sua pesquisa, para que é que serviram esses dados? (Seleccione todas as respostas que se apliquem)"
"1","validação da pesquisa"
"2","replicação"
"3","meta-análise"
"4","o contexto da minha investigação"
"5","desenvolvimento da metodologia"
"6","para os dados de base"
"7","material pedagógico"
"8","nova análise"
"9","para promover a colaboração"
"10","com um outro propósito"
"Q14","Se você usou dados existentes na sua investigação, quais são os três principais motivos para sua escolha (selecione três)?"
"1","os dados são obtidos junto de uma fonte com boa reputação"
"2","há artigos baseados nesses dados"
"3","dados de alta qualidade"
"4","a base de dados é bem documentada"
"5","os direitos de reutilisação estão claramente definidos"
"6","os dados podem ser citados"
"7","os dados são de licença aberta"
"8","o acesso é imediato"
"9","o acesso aos dados brutos tal como aos dados agregados"
"10","os dados estão em formatos que eu posso reutilizar facilmente"
"Q15","Algo o impediu de aceder aos dados no passado? (selecione todas as respostas que se aplicam)."
"1","Não tive qualquer problema"
"2","Não sabia onde encontrar os dados"
"3","Não estava seguro(a) da qualidade"
"4","Eu não sabia como citar os dados"
"5","Eu não tinha os recursos necessários para tratar os dados"
"6","os dados não tinham metadados suficientes para poderem ser reutilizáveis"
"7","os dados não estavam acessíveis"
"8","não se podia fazer download dos dados"
"9","não se aplica"
"Q16","Você partilhou os dados de investigação que usou ou criou no seu último projeto de investigação de alguma das seguintes maneiras? (selecione tudo o que se aplica)"
"1","num repositório institucional em livre acesso"
"2","num repositório comunitário /disciplinar"
"3","num repositório genérico (por exemplo FigShare, Zenodo)"
"4","num anexo de um documento"
"5","directamente aos utilisadores mediante pedido"
"6","Eu não partilho os meus dados"
"Q17","Em que momento é que você começa a partilhar diferentes tipos de dados? (selecione tudo o que se aplica)"
"Q17_1_a","a partir do momento da criação"
"1","dados brutos"
"Q17_1_b","a partir do momento da criação"
"1","dados limpos"
"Q17_1_c","a partir do momento da criação"
"1","dados agregados"
"Q17_1_d","a partir do momento da criação"
"1","outros materiais de pesquisa"
"Q17_2_a","no momento da publicação"
"1","dados brutos"
"Q17_2_b","no momento da publicação"
"1","dados limpos"
"Q17_2_c","no momento da publicação"
"1","dados agregados"
"Q17_2_d","no momento da publicação"
"1","outros materiais de pesquisa"
"Q17_3_a","depois do projecto estar completo"
"1","dados brutos"
"Q17_3_b","depois do projecto estar completo"
"1","dados limpos"
"Q17_3_c","depois do projecto estar completo"
"1","dados agregados"
"Q17_3_d","depois do projecto estar completo"
"1","outros materiais de pesquisa"
"Q17_4_a","Eu não partilho esses dados"
"1","dados brutos"
"Q17_4_b","Eu não partilho esses dados"
"1","dados limpos"
"Q17_4_c","Eu não partilho esses dados"
"1","dados agregados"
"Q17_4_d","Eu não partilho esses dados"
"1","outros materiais de pesquisa"
"Q18","Quem é que geralmente tem acesso aos dados produzidos pela sua investigação antes e depois da sua publicação? (selecione tudo o que se aplica)"
"Q18_1_a","investigaor principal/supervisor de investigação"
"1","antes da publicação dos dados num artigo de revista científica"
"Q18_1_b","investigaor principal/supervisor de investigação"
"1","depois da publicação dos dados num artigo de revista científica"
"Q18_2_a","colaborador"
"1","antes da publicação dos dados num artigo de revista científica"
"Q18_2_b","colaborador"
"1","depois da publicação dos dados num artigo de revista científica"
"Q18_3_a","colegas da instituição"
"1","antes da publicação dos dados num artigo de revista científica"
"Q18_3_b","colegas da instituição"
"1","depois da publicação dos dados num artigo de revista científica"
"Q18_4_a","investigadores fora da minha instituição"
"1","antes da publicação dos dados num artigo de revista científica"
"Q18_4_b","investigadores fora da minha instituição"
"1","depois da publicação dos dados num artigo de revista científica"
"Q18_5_a","grande público"
"1","antes da publicação dos dados num artigo de revista científica"
"Q18_5_b","grande público"
"1","depois da publicação dos dados num artigo de revista científica"
"Q18_6_a","outro"
"1","antes da publicação dos dados num artigo de revista científica"
"Q18_6_b","outro"
"1","depois da publicação dos dados num artigo de revista científica"
"Q18_7_a","ninguém"
"1","antes da publicação dos dados num artigo de revista científica"
"Q18_7_b","ninguém"
"1","depois da publicação dos dados num artigo de revista científica"
"Q19","Quais são os problemas que influenciam a sua práctica de partilha de dados (seleccione tudo o que se aplica)"
"1","falta de tempo para depositar os dados"
"2","organizar os dados de maneira apresentável e útil"
"3","não saber qual repositório usar"
"4","os custos de partilha dos dados"
"5","dúvidas sobre direitos de autor e licenças"
"6","não receber o reconhecimento apropriado"
"7","os dados são muito pequenos ou sem importância"
"8","os dados são muito importantes para serem partilhados"
"9","os dados contêm informações sensíveis"
"10","não tenho a certeza de ter o direito de partilhar"
"11","não tenho nenhum interesse em partilhar os dados"
"12","não tenho qualquer problema prático em partilhar os meus dados"
"Q20","Que outras preocupações influenciam a sua práctica de partilha de dados (seleccione todas as repostas que se aplicam)"
"1","Estou preocupado(a) com que seja atribuida a citação apropriada"
"2","Estou preocupado(a) com que as minhas investigações não sejam levadas a sério"
"3","Estou preocupado(a) com uma má interpretação ou utilização dos meus dados"
"4","questões de propriedade intelectual ou de confidencialidade"
"5","preocupações éticas"
"6","o meu financiador/instituição não exige partilha de dados"
"7","Não penso que seja da minha responsabilidade"
"8","Não considero que os meus dados sejam pertinentes"
"9","Não estou preocupado(a) com a partilha dos meus dados"
"Q21","Houve situações em que decidiu não partilhar dados?"
"1","sim"
"2","não"
"Q22","Se sim, a sua decisão esteve relacionada com alguma das seguintes características dos seus dados? (seleccione tudo o que se aplica)"
"1","dados pessoais sensíveis"
"2","dados identificáveis sobre os pacientes"
"3","dados sensíveis comercialmente"
"4","outros tipos de dados confidenciais"
"Q23","Responda à seguinte declaração: a minha compreensão do movimento Open Data é sufficiente para eu me envolver nas actividades de investigação abertas"
"1","Considero-me suficientemente informado(a)"
"2","Ouvi falar de Open Data, mas gostaria de ter mais informações sobre esse tema"
"3","Open Data é um tema novo para mim"
"Q24","Se o Open Data não é um tema novo para si, o que é que influenciou a sua compreensão do ""Open Data"" (seleccione tudo o que se aplica) ?"
"1","formação formal da minha instituição"
"2","material pedagógico on-line"
"3","discussões com os meus colegas"
"4","envolvimento em redes internacionais de investigação"
"5","colaboração internacional"
"6","requisitos de financiamento"
"7","requisitos em matéria de publicação de revistas"
"8","os artigos que eu li nas revistas ou em jornais"
"9","os media do público em geral"
"Q25","Qual é o valor dos dados abertos? Seleccione três dos enunciados seguintes."
"1","permite o acesso aos dados sem restrições para a sua reutilização"
"2","aumenta a transparência da investigação"
"3","aumenta a reprodutibilidade da investigação"
"4","melhora o retorno do investimento público na investigação"
"5","aumenta a rapidez da investigação"
"6","melhora o acesso equitativo às fontes da investigação"
"Q26","Na sua opinião quais são os principais obstáculos à publicação de dados enquanto dados abertos (seleccione tudo o que se aplica) ?"
"1","os constrangimentos jurídicos (confidencialidade dos dados, segurança nacional, protecção da confidencialidade)"
"2","direitos de propriedade intelectual"
"3","constrangimentos organizacionais"
"4","utilização e exploração comerciais"
"5","a perda de controle da propriedade intelectual"
"6","a interpretação ou a utilização abusiva dos dados"
"7","a perda de crédito ou de reconhecimento da obra original"
"8","a dificuldade de clarificar os direitos sobre os dados para o trabalho, implicando contribuições ou múltiplos autores"
"9","preocupações quanto à responsabilidade jurídica dos dados ou à divulgação dos dados"
"10","preocupações sobre o impacto da disseminação de dados (por exemplo, em espécies ameaçadas, artefatos culturais ou populações vulneráveis, divulgação indesejada, etc.)"
"11","o desejo de publicar resultados antes da difusão dos dados"
"12","a falta de financiamento para realizar uma partilha aberta"
"13","a falta de tempo para realizar uma partilha aberta"
"14","a falta de suporte técnico"
"Q27","Quando partilha os seus dados, quanto faz em aberto?"
"Q27_1_a","dados brutos"
"1","nenhuma"
"Q27_1_b","dados brutos"
"1","algumas"
"Q27_1_c","dados brutos"
"1","todas"
"Q27_2_a","dados limpos"
"1","nenhuma"
"Q27_2_b","dados limpos"
"1","algumas"
"Q27_2_c","dados limpos"
"1","todas"
"Q27_3_a","dados agregados"
"1","nenhuma"
"Q27_3_b","dados agregados"
"1","algumas"
"Q27_3_c","dados agregados"
"1","todas"
"Q27_4_a","outros materiais de pesquisa"
"1","nenhuma"
"Q27_4_b","outros materiais de pesquisa"
"1","algumas"
"Q27_4_c","outros materiais de pesquisa"
"1","todas"
"Q28","Conhece os princípios FAIR no que respeita a dados abertos?"
"1","Considero-me suficientemente informado(a)"
"2","Ouvi falar dos princípios FAIR mas gostaria de ter mais informação sobre esse tema"
"3","Os princípios FAIR são um novo tópico para mim"
"Q29","Recebeu informações sobre os princípios de dados FAIR de alguma das fontes abaixo? (seleccione tudo o que se aplica)"
"1","formação formal da minha instituição"
"2","material pedagógico on-line"
"3","discussões com os meus colegas"
"4","envolvimento em redes de investigação internacionais"
"5","colaborações internacionais"
"6","as exigências de financiamento"
"7","exigências em matéria de publicação de revistas"
"8","os artigos que eu li em jornais ou em revistas"
"9","media do público em geral"
"10","Não recebi nenhuma informação sobre os princípios do tratamento FAIR dos dados"
"Q30","Responda à declaração seguinte : Tenho acesso a mentores que me ajudam a partilhar os meus dados segundo os princípios FAIR."
"1","na minha instituição"
"2","dentro da minha comunidade disciplinar (não no meu estabelecimento)"
"3","Não tenho suporte para atividades de conformidade de dados FAIR"
"Q31","Em que medida pensa que os dados que partilha estão de acordo com os princípios FAIR?"
"1","todos os dados que eu partilho estão em conformidade com os princípios FAIR"
"2","certos dados que eu partilho estão em conformidade com os princípios FAIR"
"3","muito poucos dos dados que partilho estão em conformidade com os princípios FAIR"
"4","nenhum dos dados que partilho está em conformidade com os princípios FAIR"
"Q32","Escolha entre os seguintes enunciados, aqueles que descrevem a sua utilização de metadados :"
"1","Estou muito confiante que os metadados partilhados com meus dados são suficientes para permitir a reutilização dos dados"
"2","Estou convencido(a) de que os metadados partilhados com meus dados são suficientes para permitir a reutilização dos dados"
"3","Não tenho a certeza se os metadados partilhados com meus dados são suficientes para permitir a reutilização dos dados"
"4","Tenho quase a certeza de que os metadados partilhados com meus dados não são suficientes para permitir a reutilização dos dados"
"5","Eu não partilho metadados com os meus dados"
"6","Eu não partilho os meus dados"
"Q33","Responda à declaração seguinte : para criar metadados que servirão para descrever os meus dados /bases de dados, recebo ajuda de (seleccione tudo o que se aplica)"
"1","meus pares"
"2","colaboradores internacionais"
"3","suporte técnico ou bibliotecário dentro da minha instituição"
"4","redes internacionais de pesquisa"
"5","gestores de dados"
"6","outro"
"7","Não recebo ajuda para criar metadados"
"Q34","Recebeu um reconhecimento/recompensa pela partilha dos seus dados de pesquisa (seleccione tudo o que se aplica) ?"
"1","mais publicações"
"2","taxa de citação mais elevada do artigo"
"3","citação completa do conjunto de dados num outro artigo"
"4","co-autor de artigos usando os meus dados"
"5","recompensa financeira"
"6","novas colaborações"
"7","mais possibilidades de financiamento"
"8","benefício financeiro"
"9","novas patentes"
"10","desenvolvimento profissional (i.e. promoção)"
"11","maior visibilidade na comunidade de pares (i.e. um convite para falar na conferência)"
"12","outros benefícios"
"13","Não tirei nenhum partido da partilha dos meus dados"
"Q35","No caso de ter partilhado anteriormente os seus dados, o que o(a) motivou a fazê-lo (seleccione tudo o que se aplica)?"
"1","exigência institucional"
"2","exigência da revista"
"3","exigência do financiador"
"4","interesse público"
"5","melhorar a transparência e a reutilização"
"6","confiança pessoal com quem me pede esses dados"
"7","preservação dos resultados da investigação"
"8","aumentar o impacto e a visibilidade da investigação"
"9","aumentar a possibilidade de descoberta e acessibilidade"
"10","liberdade de pedir informação"
"11","possibilidade de citação de dados"
"12","Eu não partilho os meus dados"
"Q36","Seleccione abaixo todas as circunstâncias que o(a) incitariam a partilhar os seus dados no futuro (seleccione tudo o que se aplica)"
"1","desenvolvimento profissional (i.e. promoção)"
"2","aumento do impacto e visibilidade da investigação (i.e. citações)"
"3","solicitações de utilizadores de dados"
"4","normas da comunidade (i.e. expectativas dos seus colegas)"
"5","política organizacional/institucional"
"6","política dos editores"
"7","política de financiamento"
"8","a política da sociedade científica e profissional"
"9","a difusão e reconhecimento do seu trabalho/investigação"
"10","melhorar a transparência e a reutilização"
"11","compromisso pessoal para abrir os dados"
"Q37","Já recebeu alguma formação em gestão de dados de investigação (RDM). Se sim, onde tomou conhecimento (seleccione todas as repostas apicáveis)"
"1","Recebi educação formal em RDM durante os meus estudos/carreira"
"2","Aprendi RDM com os meus mentores/pares"
"3","Aprendi RDM sozinho usando recursos online"
"4","Não recebi nenhuma formação em RDM"
"Q38","Acha que precisa de formação complementar em RDM ?"
"1","sim"
"2","não"
"Q39","Há áreas em que considera que precisa de ajuda relacionada com RDM (seleccione tudo o que se aplica) ?"
"1","criar tempo para gerir a actividade"
"2","elaboração de planos de gestão de dados"
"3","direitos de autor/licenças de dados"
"4","compreender as políticas de gestão de dados"
"5","curadoria de dados"
"6","encontrar repositórios adequados para arquivo"
"7","nenhuma dessas respostas"
"Q40","Onde procura ajuda para tornar os dados da sua investigação livremente acessíveis (seleccione tudo o que se aplica) ?"
"1","fornecedor de dados/software aberto"
"2","colega"
"3","pesquisa na internet"
"4","biblioteca"
"5","editor"
"6","gabinete de investigação/perícia interna"
"7","serviço profissional externo"
"8","nenhuma ajuda necessária"
"Q41","Usa ou já usou um plano de gestão de dados (DMP) para gerir os dados produzidos durante a sua investigação ?"
"1","sim"
"2","não"
"Q42","Se não usou DMP, quais foram as razões que o (a) impediram de criar um?"
"1","Eu nunca ouvi falar de um DMP antes"
"2","Não sou obrigado(a) a fazer um DMP pelo meu financiador/instituição"
"3","Não sei como criar um DMP"
"4","Eu não acho que precise de um DMP"
"5","Não tive tempo de criar um DMP"
"Q43","Se usou um DMP, o que é que o(a) motivou a o usar (seleccione tudo o que se aplica)?"
"1","para garantir uma gestão de dados eficaz e eficiente"
"2","boas práticas de pesquisa"
"3","necessidade de financiamento"
"4","exigência institucional"
"5","requisito de colaboração"
"6","requisito de aprovação de ética"
"7","Eu nunca usei um DMP"
"Q44","Se já usou um DMP, o que cobria ele (seleccione tudo o que se aplica) ?"
"1","produção de dados"
"2","armazenamento de dados durante o projecto"
"3","armazenamento de dados após o projecto"
"4","selecção de dados para curadoria/arquivo"
"5","curadoria/arquivo"
"6","partilha de dados"
"7","metadados"
"8","outros temas"
"Q45","Se já usou um DMP, revisita e/ou actualiza o seu DMP durante o seu projecto?"
"1","sim"
"2","não"
"Q46","A sua instituição alocou fundos para cobrir os custos de : gestão dos dados, arquivo dos dados, partilha dos dados ?"
"1","sim - os fundos alocados cobriram todos os custos"
"2","de alguma forma - os fundos cobriram parte dos custos"
"3","não - nenhum fundo foi alocado para cobrir os custos"
"Q47","Se a sua investigação foi financiada por uma bolsa, a bolsa alocou fundos para cobrir os custos de: gestão de dados, arquivo de dados, partilha de dados?"
"1","sim - os fundos alocados cobriram todos os custos"
"2","de alguma forma - os fundos cobriram parte dos custos"
"3","não - nenhum fundo foi alocado para cobrir os custos"
"4","a minha investigação não foi financiada por uma bolsa"
"Q48","Se você partilha dados, quais são as diretrizes que influenciam as suas decisões (seleccione tudo o que se aplica)?"
"1","As diretrizes nacionais sobre partilha de dados"
"2","Diretrizes para partilhar dados de financiadores"
"3","Diretrizes para partilhar dados dos editores"
"4","Diretrizes para partilhar dados institucionais"
"5","Práticas comuns na minha área de investigação"
"6","Nenhuma dessas respostas"
"Q49","Alguém precisa de aprovar as suas actividades de partilha de dados (seleccione tudo o que se aplica)?"
"1","meu supervisor"
"2","a biblioteca da minha instituição"
"3","a comissão jurídica da minha instituição"
"4","o meu financiador"
"5","ninguém aprova as minhas actividades de partilha de dados"
"Q50","Existem regras formais em vigor na sua instituição que o(a) impediriam de partilhar dados (seleccione tudo o que se aplica)?"
"1","confidencialidade de dados"
"2","segurança nacional"
"3","proteção de confidencialidade"
"4","direitos de propriedade intelectual"
"5","uso e exploração comerciais"
"6","política institucional geral"
"7","nenhuma dessas respostas"
"Q51","Você usa licenças abertas para autorizar o uso dos dados que partilha (seleccione tudo o que se aplica)?"
"1","Creative Commons"
"2","Open Software license"
"3","ODbL"
"4","PDDL"
"5","OBC-BY"
"6","Outro"
"7","Eu não uso licenças abertas"
"Q52","Em caso afirmativo, especifique a reutilização através de licenças que você partilha (seleccione tudo o que se aplica)?"
"1","requer acção semelhante"
"2","requer uma citação"
"3","proibir a reutilização comercial"
"Q53","Na sua opinião, a quem pertencem os dados que você produziu no seu último projecto de investigação? É diferente antes e depois da publicação?"
"Q53_1_a","a mim próprio(a)"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_1_b","a mim próprio(a)"
"1","depois da publicação dos dados num artigo de revista científica"
"Q53_2_a","à minha instituição / organização"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_2_b","à minha instituição / organização"
"1","depois da publicação dos dados num artigo de revista científica"
"Q53_3_a","ao meu editor"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_3_b","ao meu editor"
"1","depois da publicação dos dados num artigo de revista científica"
"Q53_4_a","aos colegas e colaboradores"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_4_b","aos colegas e colaboradores"
"1","depois da publicação dos dados num artigo de revista científica"
"Q53_5_a","ao meu financiador"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_5_b","ao meu financiador"
"1","depois da publicação dos dados num artigo de revista científica"
"Q53_6_a","a ninguém"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_6_b","a ninguém"
"1","depois da publicação dos dados num artigo de revista científica"
"Q53_7_a","à sociedade"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_7_b","à sociedade"
"1","depois da publicação dos dados num artigo de revista científica"
"Q53_8_a","incerto"
"1","antes da publicação dos dados num artigo de revista científica"
"Q53_8_b","incerto"
"1","depois da publicação dos dados num artigo de revista científica"
"Q54","Quando considera as suas actividades de investigação tem:"
"Q54_1_a","acesso a todo o hardware necessário para partilhar os seus dados?"
"1","Totalmente de acordo"
"Q54_1_b","acesso a todo o hardware necessário para partilhar os seus dados?"
"1","De acordo"
"Q54_1_c","acesso a todo o hardware necessário para partilhar os seus dados?"
"1","Não concordo"
"Q54_1_d","acesso a todo o hardware necessário para partilhar os seus dados?"
"1","Discordo totalmente"
"Q54_2_a","acesso ao software de que você precisa para partilhar os seus dados?"
"1","Totalmente de acordo"
"Q54_2_b","acesso ao software de que você precisa para partilhar os seus dados?"
"1","De acordo"
"Q54_2_c","acesso ao software de que você precisa para partilhar os seus dados?"
"1","Não concordo"
"Q54_2_d","acesso ao software de que você precisa para partilhar os seus dados?"
"1","Discordo totalmente"
"Q54_3_a","acesso ao suporte técnico na sua instituição para o hardware e software de computador que você usa?"
"1","Totalmente de acordo"
"Q54_3_b","acesso ao suporte técnico na sua instituição para o hardware e software de computador que você usa?"
"1","De acordo"
"Q54_3_c","acesso ao suporte técnico na sua instituição para o hardware e software de computador que você usa?"
"1","Não concordo"
"Q54_3_d","acesso ao suporte técnico na sua instituição para o hardware e software de computador que você usa?"
"1","Discordo totalmente"
"Q55","Algum outro problema afecta a sua capacidade de partilhar os seus dados de maneira eficaz?"
"Q55_1_a","eletricidade instável"
"1","Totalmente de acordo"
"Q55_1_b","eletricidade instável"
"1","De acordo"
"Q55_1_c","eletricidade instável"
"1","Não concordo"
"Q55_1_d","eletricidade instável"
"1","Discordo totalmente"
"Q55_2_a","largura de banda instável/baixa"
"1","Totalmente de acordo"
"Q55_2_b","largura de banda instável/baixa"
"1","De acordo"
"Q55_2_c","largura de banda instável/baixa"
"1","Não concordo"
"Q55_2_d","largura de banda instável/baixa"
"1","Discordo totalmente"
"Q55_3_a","necessidade de usar a Internet/dados pessoais e custos associados"
"1","Totalmente de acordo"
"Q55_3_b","necessidade de usar a Internet/dados pessoais e custos associados"
"1","De acordo"
"Q55_3_c","necessidade de usar a Internet/dados pessoais e custos associados"
"1","Não concordo"
"Q55_3_d","necessidade de usar a Internet/dados pessoais e custos associados"
"1","Discordo totalmente"
"Q55_4_a","fundos para preparar os dados a serem partilhados"
"1","Totalmente de acordo"
"Q55_4_b","fundos para preparar os dados a serem partilhados"
"1","De acordo"
"Q55_4_c","fundos para preparar os dados a serem partilhados"
"1","Não concordo"
"Q55_4_d","fundos para preparar os dados a serem partilhados"
"1","Discordo totalmente"
"Q56","Sabe se no seu país existe uma regulamentação nacional de dados abertos?"
"1","sim"
"2","não"
"Q57","Até que ponto você seria/é a favor de uma regulamentação nacional para dados abertos de investigação ?"
"1","Muito favorável"
"2","Favorável"
"3","Pouco favorável"
"4","Muito pouco favorável"
"Q58","Os financiadores deveriam incluir a partilha de dados de investigação nos seus requisitos para a concessão de bolsas ?"
"1","sim"
"2","não"
"Q59","Gostaria de obter mais informação sobre como respeitar as políticas de partilha e de abertura dos dados ; vindas de (seleccione tudo o que se aplica):"
"1","financiadores"
"2","editores"
"3","instituição"
"4","governo"
"Q60","O que é que o (a) motivaria a disponibilizar mais dados num repositório, num centro de dados ou num outro formulário on-line (seleccione tudo o que se aplica) ?"
"1","sob condição"
"2","exigência institucional"
"3","requisito de revista"
"4","exigência do financiador"
"5","interesse público"
"6","transparência e reutilização"
"7","preservação dos dados"
"8","maior impacto e visibilidade"
"9","a garantia de crédito adequado"
"10","liberdade de pedir informação"
"11","confiança pessoal no candidato"
"Q61","Em que áreas pensa precisar de ajuda para tornar os seus dados de investigação mais acessíveis (seleccione tudo o que se aplica) ?"
"1","direitos de autor/licenças de dados"
"2","encontrar repositórios adequados para arquivar dados"
"3","curadoria de dados"
"4","políticas de gestão de dados"
"5","ajuda com os DMPs"
"6","nenhum"
"Q62","Obrigada pelo seu interesse pelo inquérito ! Se foi conduzido(a) até aqui desde a primeira página, é porque não trabalha no país que estamos a estudar actualmente. Se repondeu a este inquérito, muito obrigado! Como indicado acima, as suas respostas são inteiramente anónimas e você não será identificado(a) enquanto participante deste inquérito em nenhuma situação. Está disponível para concluir este inquérito?"
"1","sim"
"CompletionDate","Submission date"
